type;front;back;examples
vocab;pollution (contaminación);environmental degradation / ecological damage;Environmental degradation has accelerated due to industrial activity.|Several cities suffer severe ecological damage from vehicle emissions.
vocab;air pollution (contaminación del aire);atmospheric pollution / degraded air quality;Atmospheric pollution poses major health risks.|Urban areas experience increasingly degraded air quality.
vocab;water pollution (contaminación del agua);contaminated waterways / polluted aquatic systems;Factories often release chemicals that create contaminated waterways.|Polluted aquatic systems threaten marine biodiversity.
vocab;global warming (calentamiento global);rising global temperatures / escalating climatic changes;Rising global temperatures have intensified natural disasters.|Escalating climatic changes affect millions worldwide.
vocab;climate change (cambio climático);climatic disruption / long-term environmental shifts;Climatic disruption is largely caused by human activity.|Long-term environmental shifts require urgent global action.
vocab;animals in danger (animales en peligro);endangered species / threatened wildlife populations;Endangered species require immediate conservation efforts.|Human expansion drives many wildlife populations toward extinction.
vocab;protect the planet (proteger el planeta);safeguard the environment / preserve the natural world;Individuals must act to safeguard the environment.|Governments must work to preserve the natural world.
vocab;waste (desechos);discarded materials / unmanaged waste;Cities struggle with large amounts of discarded materials.|Unmanaged waste contributes to severe pollution.
vocab;plastic waste (desechos plásticos);plastic debris / synthetic waste pollution;Oceans are filled with plastic debris.|Synthetic waste pollution threatens marine ecosystems.
vocab;deforestation (deforestación);large-scale forest clearance / loss of woodland areas;Large-scale forest clearance contributes to climate change.|The loss of woodland areas disrupts entire ecosystems.
vocab;recycling (reciclaje);waste recovery practices / material reclamation;Waste recovery practices reduce landfill usage.|Material reclamation is vital for a circular economy.
vocab;renewable energy (energía renovable);sustainable energy sources / low-carbon power generation;Wind and solar represent sustainable energy sources.|Low-carbon power generation is essential to combat climate change.
vocab;green energy (energía verde);clean energy alternatives / environmentally-friendly power sources;Clean energy alternatives reduce dependence on fossil fuels.|Environmentally-friendly power sources help cut emissions.
vocab;natural resources (recursos naturales);finite environmental assets / vital ecological resources;Finite environmental assets must be used responsibly.|Vital ecological resources are under severe pressure.
vocab;fresh water (agua dulce);renewable freshwater supplies / limited water resources;Renewable freshwater supplies are declining due to overuse.|Limited water resources create growing tension among nations.
vocab;biodiversity (biodiversidad);biological richness / ecological variety;Biological richness supports stable ecosystems.|Ecological variety continues to decline at an alarming rate.
vocab;ecosystem (ecosistema);ecological system / natural habitat network;Every ecological system depends on balanced interactions.|Natural habitat networks are shrinking rapidly.
vocab;extreme weather (clima extremo);severe meteorological events / climate-induced disasters;Severe meteorological events have become more frequent.|Climate-induced disasters cause widespread displacement.
vocab;sustainable living (vida sostenible);environmentally responsible lifestyles / low-impact living practices;Environmentally responsible lifestyles reduce ecological footprints.|Low-impact living practices are becoming more common.
vocab;carbon footprint (huella de carbono);individual carbon emissions / personal emission output;Reducing individual carbon emissions is crucial.|Many people seek to lower their personal emission output.

collocation;reduce pollution (reducir la contaminación);curb environmental pollution / minimise harmful emissions;Governments must curb environmental pollution through strict policies.|Cleaner transport options help minimise harmful emissions.
collocation;protect the environment (proteger el ambiente);safeguard ecological systems / preserve natural habitats;Environmental organisations work to safeguard ecological systems.|Strict laws are needed to preserve natural habitats.
collocation;save water (ahorrar agua);conserve freshwater resources / reduce water consumption;Households can conserve freshwater resources by fixing leaks.|Using efficient appliances helps reduce water consumption.
collocation;produce waste (producir desechos);generate large amounts of waste / create excessive refuse;Modern cities generate large amounts of waste daily.|Fast-food industries create excessive refuse through packaging.
collocation;damage the environment (dañar el ambiente);cause ecological harm / lead to environmental deterioration;Mining operations often cause ecological harm.|Poor agricultural practices lead to environmental deterioration.
collocation;recycle materials (reciclar materiales);process recyclable materials / implement effective recycling systems;Cities should process recyclable materials more efficiently.|Governments must implement effective recycling systems.
collocation;reduce carbon emissions (reducir emisiones de carbono);lower greenhouse gas output / cut carbon-intensive activities;New regulations aim to lower greenhouse gas output.|Public transport can help cut carbon-intensive activities.
collocation;combat climate change (combatir el cambio climático);address climate-related challenges / mitigate long-term climatic effects;Nations must address climate-related challenges collectively.|Reforestation programmes help mitigate long-term climatic effects.
collocation;preserve forests (preservar los bosques);protect woodland ecosystems / maintain forest biodiversity;Efforts are needed to protect woodland ecosystems.|Environmental groups aim to maintain forest biodiversity.
collocation;use renewable energy (usar energías renovables);switch to sustainable energy sources / adopt low-carbon technologies;Many countries switch to sustainable energy sources.|Industries seek to adopt low-carbon technologies.
collocation;limit deforestation (limitar la deforestación);restrict forest clearance / reduce land exploitation;New laws aim to restrict forest clearance.|Reforms are needed to reduce land exploitation.
collocation;restore ecosystems (restaurar ecosistemas);rehabilitate degraded ecosystems / regenerate natural habitats;NGOs work to rehabilitate degraded ecosystems.|Governments invest in projects to regenerate natural habitats.
collocation;reduce plastic use (reducir el uso de plástico);minimise plastic consumption / adopt eco-friendly alternatives;People are encouraged to minimise plastic consumption.|Shops increasingly adopt eco-friendly alternatives.
collocation;clean the oceans (limpiar los océanos);remove marine debris / restore ocean health;Initiatives aim to remove marine debris.|Long-term policies are required to restore ocean health.
collocation;protect wildlife (proteger la vida silvestre);conserve wildlife populations / safeguard threatened species;National parks help conserve wildlife populations.|Conservation efforts safeguard threatened species.
collocation;stop pollution (detener la contaminación);halt environmental contamination / prevent further ecological harm;Governments must halt environmental contamination using strict laws.|Communities try to prevent further ecological harm through awareness campaigns.
collocation;use natural resources wisely (usar recursos sabiamente);manage resources sustainably / promote responsible consumption;Countries must manage resources sustainably.|Educational campaigns promote responsible consumption.
collocation;reduce energy use (reducir uso de energía);lower energy consumption / improve energy efficiency;Modern appliances lower energy consumption.|New technologies improve energy efficiency.
collocation;save endangered animals (salvar animales en peligro);protect endangered species / prevent extinction;International treaties help protect endangered species.|Large reserves help prevent extinction.
collocation;control industrial pollution (controlar contaminación industrial);regulate industrial emissions / enforce environmental standards;Authorities regulate industrial emissions through strict monitoring.|Environmental standards must be enforced to protect communities.
collocation;fight climate issues (combatir problemas climáticos);tackle environmental crises / confront climate-related challenges;Nations must cooperate to tackle environmental crises.|Communities work together to confront climate-related challenges.
collocation;use public transport (usar transporte público);encourage sustainable mobility / promote low-carbon transport options;Cities encourage sustainable mobility to reduce congestion.|Low-carbon transport options reduce emissions.
collocation;reduce water waste (reducir desperdicio de agua);optimise water usage / adopt efficient water management practices;Households can optimise water usage with modern systems.|Farmers adopt efficient water management practices.
collocation;reuse materials (reutilizar materiales);promote material reuse / implement circular economy practices;Communities promote material reuse through incentives.|Governments implement circular economy practices.
collocation;protect oceans (proteger los océanos);safeguard marine ecosystems / preserve ocean biodiversity;Global agreements aim to safeguard marine ecosystems.|Long-term efforts are needed to preserve ocean biodiversity.
collocation;reduce household waste (reducir residuos domésticos);lower domestic waste output / improve household recycling behaviour;Public campaigns aim to lower domestic waste output.|Better education can improve household recycling behaviour.
collocation;use energy efficiently (usar energía eficientemente);maximise energy efficiency / reduce unnecessary power consumption;Modern buildings maximise energy efficiency with smart systems.|Citizens are encouraged to reduce unnecessary power consumption.
